time,user_id,eeg_1,eeg_2,emg_1,emg_2,blink_l,blink_r,gaze_x,gaze_y,gaze_z,event_label
2026-06-02 09:13:02.176+00,6021713,,,,,1,1,0.055233895778656006,0.2411961406469345,-4.146910190582275,Null
2026-06-02 09:13:02.18+00,6021713,13.437330722808838,-6.517276167869568,25.954797863960266,23.631781339645386,,,,,,Null
2026-06-02 09:13:02.184+00,6021713,13.45476508140564,-6.52255117893219,25.953009724617004,23.61832559108734,,,,,,Null
2026-06-02 09:13:02.188+00,6021713,13.467997312545776,-6.5272897481918335,25.968745350837708,23.63450825214386,,,,,,Null
2026-06-02 09:13:02.192+00,6021713,13.446807861328125,-6.5346211194992065,25.987744331359863,23.662537336349487,,,,,,Null
2026-06-02 09:13:02.196+00,6021713,13.445287942886353,-6.532073020935059,25.97746253013611,23.650825023651123,,,,,,Null
2026-06-02 09:13:02.2+00,6021713,13.433843851089478,-6.528764963150024,25.947153568267822,23.637592792510986,,,,,,Null
2026-06-02 09:13:02.204+00,6021713,13.435140252113342,-6.5246522426605225,25.93579888343811,23.61944317817688,,,,,,Null
2026-06-02 09:13:02.208+00,6021713,13.451054692268372,-6.519198417663574,25.951847434043884,23.62874150276184,,,,,,Null
2026-06-02 09:13:02.208+00,6021713,,,,,1,1,0.05363878235220909,0.2400629222393036,-4.148566722869873,Null
2026-06-02 09:13:02.212+00,6021713,13.452216982841492,-6.524920463562012,25.97375214099884,23.645728826522827,,,,,,Null
2026-06-02 09:13:02.216+00,6021713,13.439610600471497,-6.532609462738037,25.966957211494446,23.640185594558716,,,,,,Null
2026-06-02 09:13:02.22+00,6021713,13.437330722808838,-6.528899073600769,25.939911603927612,23.61948788166046,,,,,,Null
2026-06-02 09:13:02.224+00,6021713,13.45100998878479,-6.530329585075378,25.95524489879608,23.613274097442627,,,,,,Null
2026-06-02 09:13:02.228+00,6021713,13.448640704154968,-6.524786353111267,25.976791977882385,23.641839623451233,,,,,,Null
2026-06-02 09:13:02.232+00,6021713,13.429954648017883,-6.536141037940979,25.98997950553894,23.661062121391296,,,,,,Null
2026-06-02 09:13:02.236+00,6021713,13.444215059280396,-6.5407902002334595,25.97428858280182,23.640409111976624,,,,,,Null
2026-06-02 09:13:02.236+00,6021713,,,,,1,1,0.04890885949134827,0.23862026631832123,-4.150432109832764,Null
2026-06-02 09:13:02.24+00,6021713,13.4362131357193,-6.536498665809631,25.94679594039917,23.631960153579712,,,,,,Null
2026-06-02 09:13:02.24+00,6021713,,,,,1,1,0.048742108047008514,0.23856040835380554,-4.150522708892822,Null
2026-06-02 09:13:02.244+00,6021713,13.442829251289368,-6.5283626317977905,25.961503386497498,23.625478148460388,,,,,,Null
2026-06-02 09:13:02.248+00,6021713,13.450294733047485,-6.527647376060486,25.979697704315186,23.63620698451996,,,,,,Null
2026-06-02 09:13:02.252+00,6021713,13.4611576795578,-6.522193551063538,25.99659562110901,23.664414882659912,,,,,,Null
2026-06-02 09:13:02.252+00,6021713,,,,,1,1,0.04510175809264183,0.2378908097743988,-4.151490211486816,Null
2026-06-02 09:13:02.256+00,6021713,13.464018702507019,-6.5200477838516235,25.988683104515076,23.651227355003357,,,,,,Null
2026-06-02 09:13:02.26+00,6021713,13.463929295539856,-6.525054574012756,25.973349809646606,23.627623915672302,,,,,,Null
2026-06-02 09:13:02.264+00,6021713,13.45708966255188,-6.530642509460449,25.961056351661682,23.620784282684326,,,,,,Null
2026-06-02 09:13:02.268+00,6021713,13.441801071166992,-6.527245044708252,25.971516966819763,23.64005148410797,,,,,,Null
2026-06-02 09:13:02.272+00,6021713,13.423025608062744,-6.531938910484314,25.989443063735962,23.653998970985413,,,,,,Null
2026-06-02 09:13:02.276+00,6021713,13.439610600471497,-6.536588072776794,25.995835661888123,23.646175861358643,,,,,,Null
2026-06-02 09:13:02.28+00,6021713,13.45941424369812,-6.536364555358887,25.98211169242859,23.62784743309021,,,,,,Null
2026-06-02 09:13:02.28+00,6021713,,,,,1,1,0.04081113636493683,0.2365659922361374,-4.153911590576172,Null
2026-06-02 09:13:02.284+00,6021713,13.45735788345337,-6.538152694702148,25.966554880142212,23.613005876541138,,,,,,Null
